freq_Hz,esr_ohm
1.0000e+04,3.2316e-02
1.2155e+04,2.9852e-02
1.4774e+04,2.8710e-02
1.7957e+04,2.6121e-02
2.1826e+04,2.5268e-02
2.6529e+04,2.4330e-02
3.2246e+04,2.3983e-02
3.9194e+04,2.3107e-02
4.7639e+04,2.0574e-02
5.7904e+04,2.0109e-02
7.0381e+04,2.0243e-02
8.5547e+04,1.8042e-02
1.0398e+05,1.8331e-02
1.2638e+05,1.8000e-02
1.5362e+05,1.8236e-02
1.8672e+05,1.7502e-02
2.2695e+05,1.6605e-02
2.7585e+05,1.6256e-02
3.3529e+05,1.6028e-02
4.0754e+05,1.6626e-02
4.9535e+05,1.5485e-02
6.0209e+05,1.5367e-02
7.3182e+05,1.5527e-02
8.8951e+05,1.5197e-02
1.0812e+06,1.5081e-02
1.3141e+06,1.4615e-02
1.5973e+06,1.5094e-02
1.9415e+06,1.4906e-02
2.3598e+06,1.5675e-02
2.8683e+06,1.5511e-02
3.4864e+06,1.5301e-02
4.2376e+06,1.5751e-02
5.1507e+06,1.5446e-02
6.2605e+06,1.6301e-02
7.6095e+06,1.6033e-02
9.2491e+06,1.6593e-02
1.1242e+07,1.5976e-02
1.3664e+07,1.7153e-02
1.6609e+07,1.6501e-02
2.0188e+07,1.6748e-02
2.4538e+07,1.8180e-02
2.9825e+07,1.8409e-02
3.6251e+07,1.9654e-02
4.4062e+07,2.1632e-02
5.3557e+07,2.0530e-02
6.5097e+07,2.1519e-02
7.9123e+07,2.3040e-02
9.6172e+07,2.4327e-02
1.1690e+08,2.5026e-02
1.4208e+08,2.6308e-02
1.7270e+08,2.8510e-02
2.0991e+08,2.9984e-02
2.5514e+08,3.0323e-02
3.1012e+08,3.3167e-02
3.7694e+08,3.5438e-02
4.5816e+08,3.6584e-02
5.5688e+08,4.0718e-02
6.7688e+08,4.2183e-02
8.2272e+08,4.7845e-02
1.0000e+09,5.0300e-02
