freq_Hz,mag_ohm
1.0000e+04,1.5916e+02
1.2155e+04,1.3172e+02
1.4774e+04,1.0714e+02
1.7957e+04,8.7052e+01
2.1826e+04,7.2255e+01
2.6529e+04,5.8802e+01
3.2246e+04,4.9416e+01
3.9194e+04,4.1695e+01
4.7639e+04,3.3079e+01
5.7904e+04,2.7144e+01
7.0381e+04,2.2834e+01
8.5547e+04,1.8737e+01
1.0398e+05,1.5338e+01
1.2638e+05,1.2358e+01
1.5362e+05,1.0354e+01
1.8672e+05,8.6413e+00
2.2695e+05,6.8230e+00
2.7585e+05,5.7152e+00
3.3529e+05,4.5645e+00
4.0754e+05,3.8023e+00
4.9535e+05,3.0919e+00
6.0209e+05,2.6276e+00
7.3182e+05,2.1157e+00
8.8951e+05,1.7940e+00
1.0812e+06,1.4706e+00
1.3141e+06,1.1993e+00
1.5973e+06,9.3777e-01
1.9415e+06,8.0020e-01
2.3598e+06,6.6062e-01
2.8683e+06,5.4009e-01
3.4864e+06,4.2368e-01
4.2376e+06,3.4859e-01
5.1507e+06,2.7482e-01
6.2605e+06,2.1584e-01
7.6095e+06,1.7044e-01
9.2491e+06,1.1893e-01
1.1242e+07,7.9697e-02
1.3664e+07,4.3476e-02
1.6609e+07,1.7281e-02
2.0188e+07,3.9480e-02
2.4538e+07,7.6307e-02
2.9825e+07,1.1698e-01
3.6251e+07,1.5830e-01
4.4062e+07,2.1433e-01
5.3557e+07,2.8139e-01
6.5097e+07,3.3371e-01
7.9123e+07,4.3529e-01
9.6172e+07,5.2910e-01
1.1690e+08,6.3959e-01
1.4208e+08,8.2442e-01
1.7270e+08,9.8253e-01
2.0991e+08,1.1515e+00
2.5514e+08,1.4390e+00
3.1012e+08,1.7690e+00
3.7694e+08,2.1196e+00
4.5816e+08,2.6230e+00
5.5688e+08,3.1423e+00
6.7688e+08,3.8766e+00
8.2272e+08,4.7845e+00
1.0000e+09,5.5771e+00
