freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.024110e+05,3.999025e-01,6.496399e+00,6.508696e+00,86.4775
1.072890e+05,4.036639e-01,6.805853e+00,6.817814e+00,86.6057
1.123990e+05,4.084419e-01,7.129059e+00,7.140750e+00,86.7210
1.177520e+05,4.073859e-01,7.467375e+00,7.478479e+00,86.8773
1.233600e+05,4.095019e-01,7.823652e+00,7.834362e+00,87.0038
1.292360e+05,4.137672e-01,8.194212e+00,8.204652e+00,87.1093
1.353910e+05,4.195912e-01,8.584406e+00,8.594655e+00,87.2017
1.418390e+05,4.209852e-01,8.992093e+00,9.001942e+00,87.3195
1.485950e+05,4.301971e-01,9.419813e+00,9.429631e+00,87.3852
1.556720e+05,4.329414e-01,9.868474e+00,9.877966e+00,87.4880
1.630860e+05,4.368712e-01,1.033585e+01,1.034508e+01,87.5797
1.708540e+05,4.410572e-01,1.082730e+01,1.083628e+01,87.6673
1.789910e+05,4.473874e-01,1.134011e+01,1.134893e+01,87.7408
1.875160e+05,4.523667e-01,1.188076e+01,1.188937e+01,87.8195
1.964470e+05,4.606924e-01,1.244449e+01,1.245301e+01,87.8799
2.058030e+05,4.640856e-01,1.303631e+01,1.304457e+01,87.9612
2.156050e+05,4.727810e-01,1.365355e+01,1.366173e+01,88.0168
2.258740e+05,4.856031e-01,1.430156e+01,1.430980e+01,88.0553
2.366320e+05,4.884614e-01,1.497922e+01,1.498718e+01,88.1323
2.479020e+05,4.966780e-01,1.569298e+01,1.570084e+01,88.1872
2.597090e+05,5.109919e-01,1.643683e+01,1.644477e+01,88.2193
2.720790e+05,5.213699e-01,1.721635e+01,1.722424e+01,88.2654
2.850370e+05,5.272644e-01,1.803175e+01,1.803946e+01,88.3251
2.986130e+05,5.424108e-01,1.888859e+01,1.889638e+01,88.3551
3.128350e+05,5.562502e-01,1.978245e+01,1.979027e+01,88.3894
3.277350e+05,5.695439e-01,2.072017e+01,2.072800e+01,88.4255
3.433440e+05,5.821687e-01,2.170136e+01,2.170916e+01,88.4633
3.596960e+05,5.982976e-01,2.273232e+01,2.274019e+01,88.4924
3.768280e+05,6.214292e-01,2.381290e+01,2.382101e+01,88.5051
3.947750e+05,6.393026e-01,2.494046e+01,2.494865e+01,88.5317
4.135780e+05,6.553443e-01,2.611950e+01,2.612772e+01,88.5627
4.332750e+05,6.750371e-01,2.735469e+01,2.736301e+01,88.5864
4.539110e+05,7.017780e-01,2.865454e+01,2.866313e+01,88.5971
4.755300e+05,7.305831e-01,3.001062e+01,3.001951e+01,88.6055
4.981780e+05,7.494967e-01,3.143586e+01,3.144479e+01,88.6342
5.219060e+05,7.846769e-01,3.292684e+01,3.293619e+01,88.6348
5.467630e+05,8.056236e-01,3.448435e+01,3.449376e+01,88.6617
5.728040e+05,8.459306e-01,3.612321e+01,3.613311e+01,88.6585
6.000850e+05,8.821441e-01,3.783883e+01,3.784912e+01,88.6645
6.286660e+05,9.080272e-01,3.962621e+01,3.963661e+01,88.6873
6.586080e+05,9.566432e-01,4.151483e+01,4.152585e+01,88.6799
6.899760e+05,9.969880e-01,4.348420e+01,4.349563e+01,88.6866
7.228370e+05,1.034013e+00,4.553927e+01,4.555100e+01,88.6993
7.572650e+05,1.093818e+00,4.770638e+01,4.771891e+01,88.6865
7.933310e+05,1.141411e+00,4.996422e+01,4.997725e+01,88.6913
8.311160e+05,1.177433e+00,5.233930e+01,5.235254e+01,88.7113
8.707000e+05,1.261820e+00,5.483462e+01,5.484914e+01,88.6818
9.121690e+05,1.320576e+00,5.743972e+01,5.745490e+01,88.6830
9.556140e+05,1.395508e+00,6.016795e+01,6.018413e+01,88.6713
1.001127e+06,1.473364e+00,6.303612e+01,6.305334e+01,88.6611
1.048809e+06,1.550842e+00,6.604386e+01,6.606206e+01,88.6548
1.098761e+06,1.653324e+00,6.918867e+01,6.920843e+01,88.6311
1.151093e+06,1.746816e+00,7.248318e+01,7.250422e+01,88.6195
1.205916e+06,1.860175e+00,7.595623e+01,7.597900e+01,88.5971
1.263351e+06,1.971046e+00,7.958496e+01,7.960936e+01,88.5813
1.323522e+06,2.110886e+00,8.338637e+01,8.341308e+01,88.5499
1.386558e+06,2.249390e+00,8.739812e+01,8.742706e+01,88.5257
1.452597e+06,2.389030e+00,9.158871e+01,9.161987e+01,88.5058
1.521781e+06,2.553062e+00,9.597525e+01,9.600920e+01,88.4762
1.594259e+06,2.745936e+00,1.005895e+02,1.006270e+02,88.4363
1.670190e+06,2.935052e+00,1.054392e+02,1.054801e+02,88.4055
1.749738e+06,3.158554e+00,1.105270e+02,1.105721e+02,88.3631
1.833074e+06,3.390654e+00,1.158784e+02,1.159280e+02,88.3240
1.920379e+06,3.680689e+00,1.214626e+02,1.215184e+02,88.2643
2.011842e+06,3.937688e+00,1.273451e+02,1.274060e+02,88.2289
2.107661e+06,4.269448e+00,1.335469e+02,1.336151e+02,88.1689
2.208044e+06,4.572389e+00,1.400509e+02,1.401255e+02,88.1301
2.313208e+06,4.960305e+00,1.469030e+02,1.469867e+02,88.0661
2.423381e+06,5.394240e+00,1.541274e+02,1.542218e+02,87.9955
2.538801e+06,5.861638e+00,1.616960e+02,1.618022e+02,87.9239
2.659718e+06,6.368930e+00,1.696781e+02,1.697976e+02,87.8504
2.786394e+06,6.897674e+00,1.780904e+02,1.782239e+02,87.7820
2.919104e+06,7.562087e+00,1.869339e+02,1.870868e+02,87.6835
3.058134e+06,8.202313e+00,1.962414e+02,1.964127e+02,87.6066
3.203786e+06,8.923676e+00,2.061145e+02,2.063076e+02,87.5209
3.356375e+06,9.700075e+00,2.165283e+02,2.167454e+02,87.4350
3.516231e+06,1.060167e+01,2.275303e+02,2.277772e+02,87.3323
3.683701e+06,1.161072e+01,2.391584e+02,2.394401e+02,87.2206
3.859147e+06,1.271209e+01,2.514670e+02,2.517881e+02,87.1061
4.042949e+06,1.390021e+01,2.645485e+02,2.649134e+02,86.9923
4.235505e+06,1.519613e+01,2.784491e+02,2.788635e+02,86.8762
4.437233e+06,1.673000e+01,2.932054e+02,2.936823e+02,86.7343
4.648568e+06,1.832101e+01,3.089340e+02,3.094768e+02,86.6061
4.869968e+06,2.021077e+01,3.256548e+02,3.262813e+02,86.4487
5.101914e+06,2.234880e+01,3.434942e+02,3.442204e+02,86.2774
5.344906e+06,2.453034e+01,3.627670e+02,3.635954e+02,86.1315
5.599471e+06,2.728217e+01,3.832587e+02,3.842285e+02,85.9283
5.866161e+06,3.012136e+01,4.054739e+02,4.065912e+02,85.7515
6.145553e+06,3.353896e+01,4.294448e+02,4.307524e+02,85.5344
6.438251e+06,3.718823e+01,4.552922e+02,4.568084e+02,85.3305
6.744890e+06,4.163204e+01,4.832484e+02,4.850384e+02,85.0761
7.066134e+06,4.663797e+01,5.140286e+02,5.161401e+02,84.8157
7.402677e+06,5.249452e+01,5.475059e+02,5.500167e+02,84.5233
7.755249e+06,5.928706e+01,5.846134e+02,5.876120e+02,84.2093
8.124614e+06,6.723520e+01,6.254605e+02,6.290639e+02,83.8644
8.511570e+06,7.677850e+01,6.708882e+02,6.752673e+02,83.4713
8.916957e+06,8.813066e+01,7.218288e+02,7.271890e+02,83.0390
9.341651e+06,1.020140e+02,7.793335e+02,7.859820e+02,82.5424
9.786572e+06,1.190728e+02,8.448046e+02,8.531548e+02,81.9772
1.025268e+07,1.402196e+02,9.199994e+02,9.306237e+02,81.3341
1.074100e+07,1.671944e+02,1.007238e+03,1.021021e+03,80.5752
1.125256e+07,2.022559e+02,1.110079e+03,1.128354e+03,79.6740
1.178850e+07,2.485262e+02,1.232831e+03,1.257632e+03,78.6025
1.234996e+07,3.127435e+02,1.381600e+03,1.416555e+03,77.2453
1.293816e+07,4.032374e+02,1.565606e+03,1.616701e+03,75.5568
1.355437e+07,5.378050e+02,1.797252e+03,1.875993e+03,73.3409
1.419993e+07,7.494962e+02,2.094664e+03,2.224716e+03,70.3122
1.487624e+07,1.106839e+03,2.477147e+03,2.713181e+03,65.9239
1.558476e+07,1.753521e+03,2.950101e+03,3.431899e+03,59.2730
1.632703e+07,3.014858e+03,3.367241e+03,4.519699e+03,48.1603
1.710465e+07,5.276107e+03,2.861985e+03,6.002355e+03,28.4773
