freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.000000e+04,7.000000e-02,-1.591549e+06,1.591549e+06,-90.0000
1.035142e+04,7.000000e-02,-1.537518e+06,1.537518e+06,-90.0000
1.071519e+04,7.000000e-02,-1.485320e+06,1.485320e+06,-90.0000
1.109175e+04,7.000000e-02,-1.434895e+06,1.434895e+06,-90.0000
1.148154e+04,7.000000e-02,-1.386182e+06,1.386182e+06,-90.0000
1.188502e+04,7.000000e-02,-1.339122e+06,1.339122e+06,-90.0000
1.230269e+04,7.000000e-02,-1.293660e+06,1.293660e+06,-90.0000
1.273503e+04,7.000000e-02,-1.249741e+06,1.249741e+06,-90.0000
1.318257e+04,7.000000e-02,-1.207314e+06,1.207314e+06,-90.0000
1.364583e+04,7.000000e-02,-1.166326e+06,1.166326e+06,-90.0000
1.412538e+04,7.000000e-02,-1.126731e+06,1.126731e+06,-90.0000
1.462177e+04,7.000000e-02,-1.088479e+06,1.088479e+06,-90.0000
1.513561e+04,7.000000e-02,-1.051526e+06,1.051526e+06,-90.0000
1.566751e+04,7.000000e-02,-1.015828e+06,1.015828e+06,-90.0000
1.621810e+04,7.000000e-02,-9.813414e+05,9.813414e+05,-90.0000
1.678804e+04,7.000000e-02,-9.480257e+05,9.480257e+05,-90.0000
1.737801e+04,7.000000e-02,-9.158411e+05,9.158411e+05,-90.0000
1.798871e+04,7.000000e-02,-8.847491e+05,8.847491e+05,-90.0000
1.862087e+04,7.000000e-02,-8.547126e+05,8.547126e+05,-90.0000
1.927525e+04,7.000000e-02,-8.256959e+05,8.256959e+05,-90.0000
1.995262e+04,7.000000e-02,-7.976643e+05,7.976643e+05,-90.0000
2.065380e+04,7.000000e-02,-7.705843e+05,7.705843e+05,-90.0000
2.137962e+04,7.000000e-02,-7.444236e+05,7.444236e+05,-90.0000
2.213095e+04,7.000000e-02,-7.191511e+05,7.191511e+05,-90.0000
2.290868e+04,7.000000e-02,-6.947365e+05,6.947365e+05,-90.0000
2.371374e+04,7.000000e-02,-6.711508e+05,6.711508e+05,-90.0000
2.454709e+04,7.000000e-02,-6.483658e+05,6.483658e+05,-90.0000
2.540973e+04,7.000000e-02,-6.263544e+05,6.263544e+05,-90.0000
2.630268e+04,7.000000e-02,-6.050902e+05,6.050902e+05,-90.0000
2.722701e+04,7.000000e-02,-5.845479e+05,5.845479e+05,-90.0000
2.818383e+04,7.000000e-02,-5.647030e+05,5.647030e+05,-90.0000
2.917427e+04,7.000000e-02,-5.455319e+05,5.455319e+05,-90.0000
3.019952e+04,7.000000e-02,-5.270115e+05,5.270115e+05,-90.0000
3.126079e+04,7.000000e-02,-5.091200e+05,5.091200e+05,-90.0000
3.235937e+04,7.000000e-02,-4.918358e+05,4.918358e+05,-90.0000
3.349654e+04,7.000000e-02,-4.751384e+05,4.751384e+05,-90.0000
3.467369e+04,7.000000e-02,-4.590079e+05,4.590079e+05,-90.0000
3.589219e+04,7.000000e-02,-4.434250e+05,4.434250e+05,-90.0000
3.715352e+04,7.000000e-02,-4.283711e+05,4.283711e+05,-90.0000
3.845918e+04,7.000000e-02,-4.138282e+05,4.138282e+05,-90.0000
3.981072e+04,7.000000e-02,-3.997791e+05,3.997791e+05,-90.0000
4.120975e+04,7.000000e-02,-3.862070e+05,3.862070e+05,-90.0000
4.265795e+04,7.000000e-02,-3.730956e+05,3.730956e+05,-90.0000
4.415704e+04,7.000000e-02,-3.604293e+05,3.604293e+05,-90.0000
4.570882e+04,7.000000e-02,-3.481931e+05,3.481931e+05,-90.0000
4.731513e+04,7.000000e-02,-3.363722e+05,3.363722e+05,-90.0000
4.897788e+04,7.000000e-02,-3.249527e+05,3.249527e+05,-90.0000
5.069907e+04,7.000000e-02,-3.139208e+05,3.139208e+05,-90.0000
5.248075e+04,7.000000e-02,-3.032635e+05,3.032635e+05,-90.0000
5.432503e+04,7.000000e-02,-2.929680e+05,2.929680e+05,-90.0000
5.623413e+04,7.000000e-02,-2.830220e+05,2.830220e+05,-90.0000
5.821032e+04,7.000000e-02,-2.734136e+05,2.734136e+05,-90.0000
6.025596e+04,7.000000e-02,-2.641315e+05,2.641315e+05,-90.0000
6.237348e+04,7.000000e-02,-2.551644e+05,2.551644e+05,-90.0000
6.456542e+04,7.000000e-02,-2.465018e+05,2.465018e+05,-90.0000
6.683439e+04,7.000000e-02,-2.381333e+05,2.381333e+05,-90.0000
6.918310e+04,7.000000e-02,-2.300489e+05,2.300489e+05,-90.0000
7.161434e+04,7.000000e-02,-2.222389e+05,2.222389e+05,-90.0000
7.413102e+04,7.000000e-02,-2.146941e+05,2.146941e+05,-90.0000
7.673615e+04,7.000000e-02,-2.074054e+05,2.074054e+05,-90.0000
7.943282e+04,7.000000e-02,-2.003642e+05,2.003642e+05,-90.0000
8.222426e+04,7.000000e-02,-1.935620e+05,1.935620e+05,-90.0000
8.511380e+04,7.000000e-02,-1.869908e+05,1.869908e+05,-90.0000
8.810489e+04,7.000000e-02,-1.806426e+05,1.806426e+05,-90.0000
9.120108e+04,7.000000e-02,-1.745099e+05,1.745099e+05,-90.0000
9.440609e+04,7.000000e-02,-1.685855e+05,1.685855e+05,-90.0000
9.772372e+04,7.000000e-02,-1.628621e+05,1.628621e+05,-90.0000
1.011579e+05,7.000000e-02,-1.573331e+05,1.573331e+05,-90.0000
1.047129e+05,7.000000e-02,-1.519918e+05,1.519918e+05,-90.0000
1.083927e+05,7.000000e-02,-1.468318e+05,1.468318e+05,-90.0000
1.122018e+05,7.000000e-02,-1.418470e+05,1.418470e+05,-90.0000
1.161449e+05,7.000000e-02,-1.370314e+05,1.370314e+05,-90.0000
1.202264e+05,7.000000e-02,-1.323793e+05,1.323793e+05,-90.0000
1.244515e+05,7.000000e-02,-1.278852e+05,1.278852e+05,-90.0000
1.288250e+05,7.000000e-02,-1.235436e+05,1.235436e+05,-90.0000
1.333521e+05,7.000000e-02,-1.193494e+05,1.193494e+05,-90.0000
1.380384e+05,7.000000e-02,-1.152976e+05,1.152976e+05,-90.0000
1.428894e+05,7.000000e-02,-1.113833e+05,1.113833e+05,-90.0000
1.479108e+05,7.000000e-02,-1.076019e+05,1.076019e+05,-90.0000
1.531087e+05,7.000000e-02,-1.039490e+05,1.039490e+05,-90.0000
1.584893e+05,7.000000e-02,-1.004200e+05,1.004200e+05,-90.0000
1.640590e+05,7.000000e-02,-9.701081e+04,9.701081e+04,-90.0000
1.698244e+05,7.000000e-02,-9.371738e+04,9.371738e+04,-90.0000
1.757924e+05,7.000000e-02,-9.053576e+04,9.053576e+04,-90.0000
1.819701e+05,7.000000e-02,-8.746215e+04,8.746215e+04,-90.0000
1.883649e+05,7.000000e-02,-8.449288e+04,8.449288e+04,-90.0000
1.949845e+05,7.000000e-02,-8.162442e+04,8.162442e+04,-90.0000
2.018366e+05,7.000000e-02,-7.885335e+04,7.885335e+04,-89.9999
2.089296e+05,7.000000e-02,-7.617634e+04,7.617634e+04,-89.9999
2.162719e+05,7.000000e-02,-7.359022e+04,7.359022e+04,-89.9999
2.238721e+05,7.000000e-02,-7.109190e+04,7.109190e+04,-89.9999
2.317395e+05,7.000000e-02,-6.867839e+04,6.867839e+04,-89.9999
2.398833e+05,7.000000e-02,-6.634682e+04,6.634682e+04,-89.9999
2.483133e+05,7.000000e-02,-6.409441e+04,6.409441e+04,-89.9999
2.570396e+05,7.000000e-02,-6.191846e+04,6.191846e+04,-89.9999
2.660725e+05,7.000000e-02,-5.981638e+04,5.981638e+04,-89.9999
2.754229e+05,7.000000e-02,-5.778567e+04,5.778567e+04,-89.9999
2.851018e+05,7.000000e-02,-5.582389e+04,5.582389e+04,-89.9999
2.951209e+05,7.000000e-02,-5.392872e+04,5.392872e+04,-89.9999
3.054921e+05,7.000000e-02,-5.209789e+04,5.209789e+04,-89.9999
3.162278e+05,7.000000e-02,-5.032921e+04,5.032921e+04,-89.9999
3.273407e+05,7.000000e-02,-4.862058e+04,4.862058e+04,-89.9999
3.388442e+05,7.000000e-02,-4.696995e+04,4.696995e+04,-89.9999
3.507519e+05,7.000000e-02,-4.537536e+04,4.537536e+04,-89.9999
3.630781e+05,7.000000e-02,-4.383491e+04,4.383491e+04,-89.9999
3.758374e+05,7.000000e-02,-4.234675e+04,4.234675e+04,-89.9999
3.890451e+05,7.000000e-02,-4.090912e+04,4.090912e+04,-89.9999
4.027170e+05,7.000000e-02,-3.952029e+04,3.952029e+04,-89.9999
