freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.000000e+04,5.000000e-02,-1.591549e+02,1.591549e+02,-89.9820
1.035142e+04,5.000000e-02,-1.537517e+02,1.537517e+02,-89.9814
1.071519e+04,5.000000e-02,-1.485320e+02,1.485320e+02,-89.9807
1.109175e+04,5.000000e-02,-1.434894e+02,1.434894e+02,-89.9800
1.148154e+04,5.000000e-02,-1.386181e+02,1.386181e+02,-89.9793
1.188502e+04,5.000000e-02,-1.339121e+02,1.339121e+02,-89.9786
1.230269e+04,5.000000e-02,-1.293659e+02,1.293659e+02,-89.9779
1.273503e+04,5.000000e-02,-1.249741e+02,1.249741e+02,-89.9771
1.318257e+04,5.000000e-02,-1.207313e+02,1.207313e+02,-89.9763
1.364583e+04,5.000000e-02,-1.166326e+02,1.166326e+02,-89.9754
1.412538e+04,5.000000e-02,-1.126730e+02,1.126730e+02,-89.9746
1.462177e+04,5.000000e-02,-1.088478e+02,1.088478e+02,-89.9737
1.513561e+04,5.000000e-02,-1.051525e+02,1.051525e+02,-89.9728
1.566751e+04,5.000000e-02,-1.015827e+02,1.015827e+02,-89.9718
1.621810e+04,5.000000e-02,-9.813404e+01,9.813405e+01,-89.9708
1.678804e+04,5.000000e-02,-9.480247e+01,9.480248e+01,-89.9698
1.737801e+04,5.000000e-02,-9.158400e+01,9.158402e+01,-89.9687
1.798871e+04,5.000000e-02,-8.847480e+01,8.847481e+01,-89.9676
1.862087e+04,5.000000e-02,-8.547115e+01,8.547116e+01,-89.9665
1.927525e+04,5.000000e-02,-8.256947e+01,8.256949e+01,-89.9653
1.995262e+04,5.000000e-02,-7.976630e+01,7.976632e+01,-89.9641
2.065380e+04,5.000000e-02,-7.705830e+01,7.705831e+01,-89.9628
2.137962e+04,5.000000e-02,-7.444223e+01,7.444224e+01,-89.9615
2.213095e+04,5.000000e-02,-7.191497e+01,7.191499e+01,-89.9602
2.290868e+04,5.000000e-02,-6.947351e+01,6.947353e+01,-89.9588
