freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.000000e+04,1.000000e-02,-1.591549e+02,1.591549e+02,-89.9964
1.035142e+04,1.000000e-02,-1.537517e+02,1.537517e+02,-89.9963
1.071519e+04,1.000000e-02,-1.485320e+02,1.485320e+02,-89.9961
1.109175e+04,1.000000e-02,-1.434895e+02,1.434895e+02,-89.9960
1.148154e+04,1.000000e-02,-1.386181e+02,1.386181e+02,-89.9959
1.188502e+04,1.000000e-02,-1.339121e+02,1.339121e+02,-89.9957
1.230269e+04,1.000000e-02,-1.293659e+02,1.293659e+02,-89.9956
1.273503e+04,1.000000e-02,-1.249741e+02,1.249741e+02,-89.9954
1.318257e+04,1.000000e-02,-1.207313e+02,1.207313e+02,-89.9953
1.364583e+04,1.000000e-02,-1.166326e+02,1.166326e+02,-89.9951
1.412538e+04,1.000000e-02,-1.126730e+02,1.126730e+02,-89.9949
1.462177e+04,1.000000e-02,-1.088479e+02,1.088479e+02,-89.9947
1.513561e+04,1.000000e-02,-1.051526e+02,1.051526e+02,-89.9946
1.566751e+04,1.000000e-02,-1.015827e+02,1.015827e+02,-89.9944
1.621810e+04,1.000000e-02,-9.813407e+01,9.813407e+01,-89.9942
1.678804e+04,1.000000e-02,-9.480250e+01,9.480250e+01,-89.9940
1.737801e+04,1.000000e-02,-9.158403e+01,9.158403e+01,-89.9937
1.798871e+04,1.000000e-02,-8.847483e+01,8.847483e+01,-89.9935
1.862087e+04,1.000000e-02,-8.547118e+01,8.547118e+01,-89.9933
1.927525e+04,1.000000e-02,-8.256951e+01,8.256951e+01,-89.9931
1.995262e+04,1.000000e-02,-7.976634e+01,7.976634e+01,-89.9928
2.065380e+04,1.000000e-02,-7.705833e+01,7.705834e+01,-89.9926
2.137962e+04,1.000000e-02,-7.444227e+01,7.444227e+01,-89.9923
2.213095e+04,1.000000e-02,-7.191501e+01,7.191501e+01,-89.9920
2.290868e+04,1.000000e-02,-6.947355e+01,6.947355e+01,-89.9918
2.371374e+04,1.000000e-02,-6.711498e+01,6.711498e+01,-89.9915
2.454709e+04,1.000000e-02,-6.483648e+01,6.483648e+01,-89.9912
2.540973e+04,1.000000e-02,-6.263533e+01,6.263533e+01,-89.9909
2.630268e+04,1.000000e-02,-6.050891e+01,6.050891e+01,-89.9905
2.722701e+04,1.000000e-02,-5.845467e+01,5.845467e+01,-89.9902
2.818383e+04,1.000000e-02,-5.647018e+01,5.647018e+01,-89.9899
2.917427e+04,1.000000e-02,-5.455306e+01,5.455306e+01,-89.9895
3.019952e+04,1.000000e-02,-5.270102e+01,5.270102e+01,-89.9891
3.126079e+04,1.000000e-02,-5.091186e+01,5.091186e+01,-89.9887
3.235937e+04,1.000000e-02,-4.918344e+01,4.918344e+01,-89.9884
3.349654e+04,1.000000e-02,-4.751369e+01,4.751369e+01,-89.9879
3.467369e+04,1.000000e-02,-4.590063e+01,4.590064e+01,-89.9875
3.589219e+04,1.000000e-02,-4.434234e+01,4.434234e+01,-89.9871
3.715352e+04,1.000000e-02,-4.283694e+01,4.283694e+01,-89.9866
3.845918e+04,1.000000e-02,-4.138266e+01,4.138266e+01,-89.9862
3.981072e+04,1.000000e-02,-3.997774e+01,3.997774e+01,-89.9857
4.120975e+04,1.000000e-02,-3.862052e+01,3.862052e+01,-89.9852
4.265795e+04,1.000000e-02,-3.730937e+01,3.730937e+01,-89.9846
4.415704e+04,1.000000e-02,-3.604274e+01,3.604274e+01,-89.9841
4.570882e+04,1.000000e-02,-3.481911e+01,3.481911e+01,-89.9835
4.731513e+04,1.000000e-02,-3.363701e+01,3.363702e+01,-89.9830
4.897788e+04,1.000000e-02,-3.249505e+01,3.249505e+01,-89.9824
5.069907e+04,1.000000e-02,-3.139186e+01,3.139186e+01,-89.9817
5.248075e+04,1.000000e-02,-3.032612e+01,3.032612e+01,-89.9811
5.432503e+04,1.000000e-02,-2.929656e+01,2.929656e+01,-89.9804
5.623413e+04,1.000000e-02,-2.830195e+01,2.830195e+01,-89.9798
5.821032e+04,1.000000e-02,-2.734111e+01,2.734111e+01,-89.9790
6.025596e+04,1.000000e-02,-2.641288e+01,2.641288e+01,-89.9783
6.237348e+04,1.000000e-02,-2.551617e+01,2.551617e+01,-89.9775
6.456542e+04,1.000000e-02,-2.464990e+01,2.464990e+01,-89.9768
6.683439e+04,1.000000e-02,-2.381304e+01,2.381304e+01,-89.9759
6.918310e+04,1.000000e-02,-2.300458e+01,2.300459e+01,-89.9751
7.161434e+04,1.000000e-02,-2.222358e+01,2.222358e+01,-89.9742
7.413102e+04,1.000000e-02,-2.146909e+01,2.146909e+01,-89.9733
7.673615e+04,1.000000e-02,-2.074021e+01,2.074021e+01,-89.9724
7.943282e+04,1.000000e-02,-2.003607e+01,2.003607e+01,-89.9714
8.222426e+04,1.000000e-02,-1.935584e+01,1.935584e+01,-89.9704
8.511380e+04,1.000000e-02,-1.869870e+01,1.869870e+01,-89.9694
8.810489e+04,1.000000e-02,-1.806387e+01,1.806387e+01,-89.9683
9.120108e+04,1.000000e-02,-1.745059e+01,1.745059e+01,-89.9672
9.440609e+04,1.000000e-02,-1.685813e+01,1.685813e+01,-89.9660
9.772372e+04,1.000000e-02,-1.628578e+01,1.628579e+01,-89.9648
1.011579e+05,1.000000e-02,-1.573287e+01,1.573287e+01,-89.9636
1.047129e+05,1.000000e-02,-1.519872e+01,1.519872e+01,-89.9623
1.083927e+05,1.000000e-02,-1.468270e+01,1.468271e+01,-89.9610
1.122018e+05,1.000000e-02,-1.418421e+01,1.418421e+01,-89.9596
1.161449e+05,1.000000e-02,-1.370263e+01,1.370263e+01,-89.9582
1.202264e+05,1.000000e-02,-1.323740e+01,1.323741e+01,-89.9567
1.244515e+05,1.000000e-02,-1.278797e+01,1.278797e+01,-89.9552
1.288250e+05,1.000000e-02,-1.235379e+01,1.235379e+01,-89.9536
1.333521e+05,1.000000e-02,-1.193435e+01,1.193435e+01,-89.9520
1.380384e+05,1.000000e-02,-1.152915e+01,1.152915e+01,-89.9503
1.428894e+05,1.000000e-02,-1.113770e+01,1.113771e+01,-89.9486
1.479108e+05,1.000000e-02,-1.075954e+01,1.075955e+01,-89.9467
1.531087e+05,1.000000e-02,-1.039422e+01,1.039423e+01,-89.9449
1.584893e+05,1.000000e-02,-1.004130e+01,1.004131e+01,-89.9429
1.640590e+05,1.000000e-02,-9.700359e+00,9.700365e+00,-89.9409
1.698244e+05,1.000000e-02,-9.370991e+00,9.370996e+00,-89.9389
1.757924e+05,1.000000e-02,-9.052802e+00,9.052808e+00,-89.9367
1.819701e+05,1.000000e-02,-8.745414e+00,8.745420e+00,-89.9345
1.883649e+05,1.000000e-02,-8.448460e+00,8.448466e+00,-89.9322
1.949845e+05,1.000000e-02,-8.161585e+00,8.161591e+00,-89.9298
2.018366e+05,1.000000e-02,-7.884447e+00,7.884453e+00,-89.9273
2.089296e+05,1.000000e-02,-7.616716e+00,7.616722e+00,-89.9248
2.162719e+05,1.000000e-02,-7.358071e+00,7.358078e+00,-89.9221
2.238721e+05,1.000000e-02,-7.108206e+00,7.108213e+00,-89.9194
2.317395e+05,1.000000e-02,-6.866820e+00,6.866827e+00,-89.9166
2.398833e+05,1.000000e-02,-6.633627e+00,6.633635e+00,-89.9136
2.483133e+05,1.000000e-02,-6.408349e+00,6.408356e+00,-89.9106
2.570396e+05,1.000000e-02,-6.190715e+00,6.190723e+00,-89.9074
2.660725e+05,1.000000e-02,-5.980468e+00,5.980476e+00,-89.9042
2.754229e+05,1.000000e-02,-5.777355e+00,5.777364e+00,-89.9008
2.851018e+05,1.000000e-02,-5.581136e+00,5.581144e+00,-89.8973
2.951209e+05,1.000000e-02,-5.391574e+00,5.391584e+00,-89.8937
3.054921e+05,1.000000e-02,-5.208445e+00,5.208455e+00,-89.8900
3.162278e+05,1.000000e-02,-5.031530e+00,5.031540e+00,-89.8861
3.273407e+05,1.000000e-02,-4.860618e+00,4.860629e+00,-89.8821
3.388442e+05,1.000000e-02,-4.695505e+00,4.695516e+00,-89.8780
3.507519e+05,1.000000e-02,-4.535994e+00,4.536005e+00,-89.8737
3.630781e+05,1.000000e-02,-4.381894e+00,4.381906e+00,-89.8692
3.758374e+05,1.000000e-02,-4.233022e+00,4.233034e+00,-89.8646
3.890451e+05,1.000000e-02,-4.089201e+00,4.089213e+00,-89.8599
4.027170e+05,1.000000e-02,-3.950258e+00,3.950270e+00,-89.8550
4.168694e+05,1.000000e-02,-3.816028e+00,3.816041e+00,-89.8499
4.315191e+05,1.000000e-02,-3.686350e+00,3.686364e+00,-89.8446
4.466836e+05,1.000000e-02,-3.561071e+00,3.561085e+00,-89.8391
4.623810e+05,1.000000e-02,-3.440040e+00,3.440054e+00,-89.8334
4.786301e+05,1.000000e-02,-3.323113e+00,3.323128e+00,-89.8276
4.954502e+05,1.000000e-02,-3.210151e+00,3.210166e+00,-89.8215
5.128614e+05,1.000000e-02,-3.101018e+00,3.101035e+00,-89.8152
5.308844e+05,1.000000e-02,-2.995586e+00,2.995602e+00,-89.8087
5.495409e+05,1.000000e-02,-2.893727e+00,2.893744e+00,-89.8020
5.688529e+05,1.000000e-02,-2.795320e+00,2.795338e+00,-89.7950
5.888437e+05,1.000000e-02,-2.700249e+00,2.700267e+00,-89.7878
6.095369e+05,1.000000e-02,-2.608399e+00,2.608418e+00,-89.7803
6.309573e+05,1.000000e-02,-2.519661e+00,2.519681e+00,-89.7726
6.531306e+05,1.000000e-02,-2.433929e+00,2.433949e+00,-89.7646
6.760830e+05,1.000000e-02,-2.351101e+00,2.351122e+00,-89.7563
6.998420e+05,1.000000e-02,-2.271077e+00,2.271099e+00,-89.7477
7.244360e+05,1.000000e-02,-2.193764e+00,2.193786e+00,-89.7388
7.498942e+05,1.000000e-02,-2.119067e+00,2.119091e+00,-89.7296
7.762471e+05,1.000000e-02,-2.046899e+00,2.046923e+00,-89.7201
8.035261e+05,1.000000e-02,-1.977172e+00,1.977198e+00,-89.7102
8.317638e+05,1.000000e-02,-1.909805e+00,1.909831e+00,-89.7000
8.609938e+05,1.000000e-02,-1.844716e+00,1.844743e+00,-89.6894
8.912509e+05,1.000000e-02,-1.781828e+00,1.781856e+00,-89.6784
9.225714e+05,1.000000e-02,-1.721066e+00,1.721095e+00,-89.6671
9.549926e+05,1.000000e-02,-1.662357e+00,1.662387e+00,-89.6553
9.885531e+05,1.000000e-02,-1.605631e+00,1.605662e+00,-89.6432
1.023293e+06,1.000000e-02,-1.550821e+00,1.550853e+00,-89.6306
1.059254e+06,1.000000e-02,-1.497861e+00,1.497894e+00,-89.6175
1.096478e+06,1.000000e-02,-1.446688e+00,1.446722e+00,-89.6040
1.135011e+06,1.000000e-02,-1.397241e+00,1.397277e+00,-89.5899
1.174898e+06,1.000000e-02,-1.349461e+00,1.349498e+00,-89.5754
1.216186e+06,1.000000e-02,-1.303291e+00,1.303329e+00,-89.5604
1.258925e+06,1.000000e-02,-1.258676e+00,1.258715e+00,-89.5448
1.303167e+06,1.000000e-02,-1.215562e+00,1.215603e+00,-89.5287
1.348963e+06,1.000000e-02,-1.173899e+00,1.173941e+00,-89.5119
1.396368e+06,1.000000e-02,-1.133636e+00,1.133680e+00,-89.4946
1.445440e+06,1.000000e-02,-1.094726e+00,1.094771e+00,-89.4766
1.496236e+06,1.000000e-02,-1.057122e+00,1.057169e+00,-89.4580
1.548817e+06,1.000000e-02,-1.020779e+00,1.020828e+00,-89.4387
1.603245e+06,1.000000e-02,-9.856534e-01,9.857041e-01,-89.4187
1.659587e+06,1.000000e-02,-9.517041e-01,9.517567e-01,-89.3980
1.717908e+06,1.000000e-02,-9.188903e-01,9.189447e-01,-89.3765
1.778279e+06,1.000000e-02,-8.871727e-01,8.872291e-01,-89.3542
1.840772e+06,1.000000e-02,-8.565136e-01,8.565720e-01,-89.3311
1.902265e+06,1.000000e-02,-8.282934e-01,8.283538e-01,-89.3083
1.905461e+06,1.000000e-02,-8.268764e-01,8.269368e-01,-89.3071
1.972423e+06,1.000000e-02,-7.982256e-01,7.982882e-01,-89.2822
1.977324e+06,1.000000e-02,-7.962040e-01,7.962668e-01,-89.2804
2.041738e+06,1.000000e-02,-7.705272e-01,7.705921e-01,-89.2564
2.055344e+06,1.000000e-02,-7.653070e-01,7.653724e-01,-89.2514
2.113489e+06,1.000000e-02,-7.437480e-01,7.438152e-01,-89.2297
2.136443e+06,1.000000e-02,-7.355564e-01,7.356244e-01,-89.2211
2.187762e+06,1.000000e-02,-7.178562e-01,7.179258e-01,-89.2019
2.220741e+06,1.000000e-02,-7.069075e-01,7.069782e-01,-89.1895
2.264644e+06,1.000000e-02,-6.928208e-01,6.928929e-01,-89.1731
2.308366e+06,1.000000e-02,-6.793173e-01,6.793909e-01,-89.1566
2.344229e+06,1.000000e-02,-6.686119e-01,6.686867e-01,-89.1431
2.399449e+06,1.000000e-02,-6.527447e-01,6.528213e-01,-89.1223
2.426610e+06,1.000000e-02,-6.452008e-01,6.452783e-01,-89.1120
2.494125e+06,1.000000e-02,-6.271497e-01,6.272294e-01,-89.0865
2.511886e+06,1.000000e-02,-6.225594e-01,6.226397e-01,-89.0798
2.592537e+06,1.000000e-02,-6.024940e-01,6.025770e-01,-89.0491
2.600160e+06,1.000000e-02,-6.006607e-01,6.007440e-01,-89.0462
2.691535e+06,1.000000e-02,-5.794787e-01,5.795650e-01,-89.0114
2.694832e+06,1.000000e-02,-5.787408e-01,5.788272e-01,-89.0101
2.786121e+06,1.000000e-02,-5.589880e-01,5.590774e-01,-88.9751
2.801163e+06,1.000000e-02,-5.558544e-01,5.559444e-01,-88.9693
2.884032e+06,1.000000e-02,-5.391642e-01,5.392569e-01,-88.9374
2.911690e+06,1.000000e-02,-5.338006e-01,5.338942e-01,-88.9268
2.985383e+06,1.000000e-02,-5.199837e-01,5.200798e-01,-88.8983
3.026577e+06,1.000000e-02,-5.125463e-01,5.126438e-01,-88.8823
3.090295e+06,1.000000e-02,-5.014235e-01,5.015232e-01,-88.8575
3.145998e+06,1.000000e-02,-4.920596e-01,4.921612e-01,-88.8358
3.198895e+06,1.000000e-02,-4.834615e-01,4.835649e-01,-88.8151
3.270132e+06,1.000000e-02,-4.723100e-01,4.724158e-01,-88.7871
3.311311e+06,1.000000e-02,-4.660763e-01,4.661836e-01,-88.7709
3.399163e+06,1.000000e-02,-4.532678e-01,4.533781e-01,-88.7361
3.427678e+06,1.000000e-02,-4.492472e-01,4.493585e-01,-88.7248
3.533285e+06,1.000000e-02,-4.349045e-01,4.350194e-01,-88.6828
3.548134e+06,1.000000e-02,-4.329541e-01,4.330695e-01,-88.6769
3.672700e+06,1.000000e-02,-4.171926e-01,4.173124e-01,-88.6269
3.672823e+06,1.000000e-02,-4.171775e-01,4.172973e-01,-88.6268
3.801894e+06,1.000000e-02,-4.018985e-01,4.020229e-01,-88.5747
3.817615e+06,1.000000e-02,-4.001055e-01,4.002305e-01,-88.5683
3.935501e+06,1.000000e-02,-3.870991e-01,3.872283e-01,-88.5202
3.968248e+06,1.000000e-02,-3.836178e-01,3.837481e-01,-88.5068
4.073803e+06,1.000000e-02,-3.727615e-01,3.728956e-01,-88.4633
4.124825e+06,1.000000e-02,-3.677046e-01,3.678405e-01,-88.4422
4.216965e+06,1.000000e-02,-3.588687e-01,3.590080e-01,-88.4038
4.287581e+06,1.000000e-02,-3.523421e-01,3.524840e-01,-88.3743
4.365158e+06,1.000000e-02,-3.454039e-01,3.455487e-01,-88.3417
4.456758e+06,1.000000e-02,-3.375074e-01,3.376555e-01,-88.3029
4.518559e+06,1.000000e-02,-3.323513e-01,3.325017e-01,-88.2766
4.632610e+06,1.000000e-02,-3.231782e-01,3.233329e-01,-88.2277
4.677351e+06,1.000000e-02,-3.196952e-01,3.198515e-01,-88.2084
4.815401e+06,1.000000e-02,-3.093331e-01,3.094947e-01,-88.1484
4.841724e+06,1.000000e-02,-3.074204e-01,3.075830e-01,-88.1369
5.005404e+06,1.000000e-02,-2.959513e-01,2.961202e-01,-88.0647
5.011872e+06,1.000000e-02,-2.955125e-01,2.956816e-01,-88.0619
5.188000e+06,1.000000e-02,-2.839571e-01,2.841331e-01,-87.9831
5.202905e+06,1.000000e-02,-2.830127e-01,2.831893e-01,-87.9763
5.370318e+06,1.000000e-02,-2.727405e-01,2.729237e-01,-87.9002
5.408199e+06,1.000000e-02,-2.704981e-01,2.706829e-01,-87.8828
5.559043e+06,1.000000e-02,-2.618493e-01,2.620401e-01,-87.8129
5.621592e+06,1.000000e-02,-2.583886e-01,2.585820e-01,-87.7837
5.754399e+06,1.000000e-02,-2.512704e-01,2.514693e-01,-87.7210
5.843406e+06,1.000000e-02,-2.466661e-01,2.468687e-01,-87.6785
5.956621e+06,1.000000e-02,-2.409914e-01,2.411988e-01,-87.6239
6.073972e+06,1.000000e-02,-2.353131e-01,2.355254e-01,-87.5666
6.165950e+06,1.000000e-02,-2.309998e-01,2.312162e-01,-87.5212
6.313636e+06,1.000000e-02,-2.243125e-01,2.245353e-01,-87.4474
6.382635e+06,1.000000e-02,-2.212839e-01,2.215097e-01,-87.4125
6.562756e+06,1.000000e-02,-2.136479e-01,2.138818e-01,-87.3202
6.606934e+06,1.000000e-02,-2.118319e-01,2.120678e-01,-87.2972
6.821705e+06,1.000000e-02,-2.033033e-01,2.035490e-01,-87.1840
6.839116e+06,1.000000e-02,-2.026327e-01,2.028793e-01,-87.1747
7.079458e+06,1.000000e-02,-1.936753e-01,1.939332e-01,-87.0443
7.090873e+06,1.000000e-02,-1.932631e-01,1.935217e-01,-87.0380
7.328245e+06,1.000000e-02,-1.849488e-01,1.852190e-01,-86.9051
7.370660e+06,1.000000e-02,-1.835125e-01,1.837848e-01,-86.8809
7.585776e+06,1.000000e-02,-1.764431e-01,1.767262e-01,-86.7562
7.661488e+06,1.000000e-02,-1.740367e-01,1.743238e-01,-86.7115
7.852356e+06,1.000000e-02,-1.681478e-01,1.684449e-01,-86.5965
7.963791e+06,1.000000e-02,-1.648216e-01,1.651247e-01,-86.5280
8.128305e+06,1.000000e-02,-1.600532e-01,1.603653e-01,-86.4249
8.278022e+06,1.000000e-02,-1.558534e-01,1.561739e-01,-86.3288
8.413951e+06,1.000000e-02,-1.521495e-01,1.524778e-01,-86.2397
8.604652e+06,1.000000e-02,-1.471186e-01,1.474581e-01,-86.1115
8.709636e+06,1.000000e-02,-1.444273e-01,1.447731e-01,-86.0392
8.944169e+06,1.000000e-02,-1.386042e-01,1.389644e-01,-85.8734
9.015711e+06,1.000000e-02,-1.368775e-01,1.372423e-01,-85.8215
9.297084e+06,1.000000e-02,-1.302973e-01,1.306805e-01,-85.6113
9.332543e+06,1.000000e-02,-1.294909e-01,1.298765e-01,-85.5841
9.660509e+06,1.000000e-02,-1.222589e-01,1.226671e-01,-85.3240
9.663923e+06,1.000000e-02,-1.221856e-01,1.225942e-01,-85.3212
1.000000e+07,1.000000e-02,-1.151726e-01,1.156060e-01,-85.0377
