freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.000000e+04,3.496981e-02,-1.597329e+02,1.597329e+02,-89.9875
1.029201e+04,3.410570e-02,-1.550834e+02,1.550834e+02,-89.9874
1.059254e+04,3.330201e-02,-1.505757e+02,1.505757e+02,-89.9873
1.090184e+04,3.255400e-02,-1.462050e+02,1.462050e+02,-89.9872
1.122018e+04,3.185737e-02,-1.419665e+02,1.419665e+02,-89.9871
1.154782e+04,3.120816e-02,-1.378559e+02,1.378559e+02,-89.9870
1.188502e+04,3.060279e-02,-1.338688e+02,1.338688e+02,-89.9869
1.223207e+04,3.003795e-02,-1.300012e+02,1.300012e+02,-89.9868
1.258925e+04,2.951064e-02,-1.262491e+02,1.262491e+02,-89.9866
1.295687e+04,2.901809e-02,-1.226089e+02,1.226089e+02,-89.9864
1.333521e+04,2.855779e-02,-1.190767e+02,1.190767e+02,-89.9863
1.372461e+04,2.812739e-02,-1.156493e+02,1.156493e+02,-89.9861
1.412538e+04,2.772478e-02,-1.123232e+02,1.123232e+02,-89.9859
1.453784e+04,2.734798e-02,-1.090952e+02,1.090952e+02,-89.9856
1.496236e+04,2.699518e-02,-1.059622e+02,1.059622e+02,-89.9854
1.539927e+04,2.666473e-02,-1.029212e+02,1.029212e+02,-89.9852
1.584893e+04,2.635507e-02,-9.996945e+01,9.996945e+01,-89.9849
1.631173e+04,2.606480e-02,-9.710404e+01,9.710405e+01,-89.9846
1.678804e+04,2.579260e-02,-9.432236e+01,9.432236e+01,-89.9843
1.727826e+04,2.553726e-02,-9.162181e+01,9.162182e+01,-89.9840
1.778279e+04,2.529765e-02,-8.899992e+01,8.899992e+01,-89.9837
1.830206e+04,2.507274e-02,-8.645428e+01,8.645428e+01,-89.9834
1.883649e+04,2.486156e-02,-8.398256e+01,8.398257e+01,-89.9830
1.938653e+04,2.466322e-02,-8.158254e+01,8.158255e+01,-89.9827
1.995262e+04,2.447688e-02,-7.925205e+01,7.925206e+01,-89.9823
2.053525e+04,2.430178e-02,-7.698899e+01,7.698900e+01,-89.9819
2.113489e+04,2.413720e-02,-7.479135e+01,7.479135e+01,-89.9815
2.175204e+04,2.398246e-02,-7.265716e+01,7.265716e+01,-89.9811
2.238721e+04,2.383696e-02,-7.058453e+01,7.058454e+01,-89.9807
2.304093e+04,2.370010e-02,-6.857164e+01,6.857165e+01,-89.9802
2.371374e+04,2.357135e-02,-6.661671e+01,6.661672e+01,-89.9797
2.440619e+04,2.345021e-02,-6.471803e+01,6.471803e+01,-89.9792
2.511886e+04,2.333620e-02,-6.287392e+01,6.287393e+01,-89.9787
2.585235e+04,2.322890e-02,-6.108280e+01,6.108281e+01,-89.9782
2.660725e+04,2.312788e-02,-5.934310e+01,5.934310e+01,-89.9777
2.738420e+04,2.303276e-02,-5.765330e+01,5.765331e+01,-89.9771
2.818383e+04,2.294320e-02,-5.601196e+01,5.601196e+01,-89.9765
2.900681e+04,2.285884e-02,-5.441764e+01,5.441765e+01,-89.9759
2.985383e+04,2.277939e-02,-5.286899e+01,5.286899e+01,-89.9753
3.072557e+04,2.270454e-02,-5.136466e+01,5.136467e+01,-89.9747
