freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.000000e+04,2.000000e-02,-1.591549e+02,1.591549e+02,-89.9928
1.035142e+04,2.000000e-02,-1.537517e+02,1.537517e+02,-89.9925
1.071519e+04,2.000000e-02,-1.485320e+02,1.485320e+02,-89.9923
1.109175e+04,2.000000e-02,-1.434895e+02,1.434895e+02,-89.9920
1.148154e+04,2.000000e-02,-1.386181e+02,1.386181e+02,-89.9917
1.188502e+04,2.000000e-02,-1.339121e+02,1.339122e+02,-89.9914
1.230269e+04,2.000000e-02,-1.293659e+02,1.293659e+02,-89.9911
1.273503e+04,2.000000e-02,-1.249741e+02,1.249741e+02,-89.9908
1.318257e+04,2.000000e-02,-1.207313e+02,1.207313e+02,-89.9905
1.364583e+04,2.000000e-02,-1.166326e+02,1.166326e+02,-89.9902
1.412538e+04,2.000000e-02,-1.126730e+02,1.126730e+02,-89.9898
1.462177e+04,2.000000e-02,-1.088479e+02,1.088479e+02,-89.9895
1.513561e+04,2.000000e-02,-1.051526e+02,1.051526e+02,-89.9891
1.566751e+04,2.000000e-02,-1.015827e+02,1.015827e+02,-89.9887
1.621810e+04,2.000000e-02,-9.813408e+01,9.813408e+01,-89.9883
1.678804e+04,2.000000e-02,-9.480251e+01,9.480251e+01,-89.9879
1.737801e+04,2.000000e-02,-9.158404e+01,9.158404e+01,-89.9875
1.798871e+04,2.000000e-02,-8.847484e+01,8.847484e+01,-89.9870
1.862087e+04,2.000000e-02,-8.547119e+01,8.547119e+01,-89.9866
1.927525e+04,2.000000e-02,-8.256951e+01,8.256952e+01,-89.9861
1.995262e+04,2.000000e-02,-7.976635e+01,7.976635e+01,-89.9856
2.065380e+04,2.000000e-02,-7.705834e+01,7.705835e+01,-89.9851
2.137962e+04,2.000000e-02,-7.444227e+01,7.444228e+01,-89.9846
2.213095e+04,2.000000e-02,-7.191502e+01,7.191502e+01,-89.9841
2.290868e+04,2.000000e-02,-6.947356e+01,6.947356e+01,-89.9835
2.371374e+04,2.000000e-02,-6.711499e+01,6.711499e+01,-89.9829
2.454709e+04,2.000000e-02,-6.483649e+01,6.483649e+01,-89.9823
2.540973e+04,2.000000e-02,-6.263534e+01,6.263534e+01,-89.9817
2.630268e+04,2.000000e-02,-6.050892e+01,6.050892e+01,-89.9811
2.722701e+04,2.000000e-02,-5.845469e+01,5.845469e+01,-89.9804
2.818383e+04,2.000000e-02,-5.647019e+01,5.647020e+01,-89.9797
2.917427e+04,2.000000e-02,-5.455307e+01,5.455308e+01,-89.9790
3.019952e+04,2.000000e-02,-5.270103e+01,5.270104e+01,-89.9783
3.126079e+04,2.000000e-02,-5.091187e+01,5.091188e+01,-89.9775
3.235937e+04,2.000000e-02,-4.918345e+01,4.918345e+01,-89.9767
