freq_Hz,relerr_A,relerr_B,relerr_C_unw,relerr_D_weighted
1.000000e+02,6.870595e-02,2.151011e-02,2.411459e-09,2.383583e-04
1.045792e+02,6.885857e-02,2.135037e-02,1.036762e-09,1.897723e-04
1.093681e+02,6.901079e-02,2.119179e-02,4.584726e-10,1.462236e-04
1.143763e+02,6.916300e-02,2.103399e-02,1.032488e-09,1.075341e-04
1.196139e+02,6.931555e-02,2.087659e-02,1.532301e-09,7.368545e-05
1.250912e+02,6.946879e-02,2.071922e-02,1.835976e-09,4.521339e-05
1.308194e+02,6.962300e-02,2.056151e-02,1.965314e-09,2.535569e-05
1.368099e+02,6.977848e-02,2.040312e-02,1.952771e-09,2.465972e-05
1.430748e+02,6.993543e-02,2.024374e-02,1.834052e-09,3.806867e-05
1.496265e+02,7.009404e-02,2.008308e-02,1.649930e-09,5.276512e-05
1.564782e+02,7.025443e-02,1.992090e-02,1.452053e-09,6.574868e-05
1.636437e+02,7.041668e-02,1.975700e-02,1.309776e-09,7.650421e-05
1.711372e+02,7.058080e-02,1.959125e-02,1.299330e-09,8.500676e-05
1.789740e+02,7.074674e-02,1.942356e-02,1.453604e-09,9.136502e-05
1.871696e+02,7.091440e-02,1.925390e-02,1.736704e-09,9.573267e-05
1.957405e+02,7.108362e-02,1.908229e-02,2.090406e-09,9.827977e-05
2.047039e+02,7.125420e-02,1.890883e-02,2.470070e-09,9.918160e-05
2.140777e+02,7.142588e-02,1.873365e-02,2.847047e-09,9.861361e-05
2.238808e+02,7.159836e-02,1.855697e-02,3.203142e-09,9.674892e-05
2.341328e+02,7.177132e-02,1.837902e-02,3.526713e-09,9.375685e-05
2.448542e+02,7.194440e-02,1.820010e-02,3.810660e-09,8.980212e-05
2.560666e+02,7.211724e-02,1.802056e-02,4.051510e-09,8.504448e-05
2.677924e+02,7.228948e-02,1.784073e-02,4.249052e-09,7.963870e-05
2.800552e+02,7.246074e-02,1.766102e-02,4.406291e-09,7.373514e-05
2.928796e+02,7.263068e-02,1.748181e-02,4.529555e-09,6.748104e-05
3.062912e+02,7.279897e-02,1.730350e-02,4.628660e-09,6.102291e-05
3.203169e+02,7.296532e-02,1.712647e-02,4.716999e-09,5.451078e-05
3.349849e+02,7.312947e-02,1.695109e-02,4.811336e-09,4.810521e-05
3.503246e+02,7.329124e-02,1.677771e-02,4.931063e-09,4.198864e-05
3.663667e+02,7.345044e-02,1.660663e-02,5.096704e-09,3.638215e-05
3.831434e+02,7.360700e-02,1.643812e-02,5.327707e-09,3.156514e-05
4.006884e+02,7.376086e-02,1.627239e-02,5.639986e-09,2.788041e-05
4.190367e+02,7.391202e-02,1.610963e-02,6.044026e-09,2.567738e-05
4.382253e+02,7.406057e-02,1.594994e-02,6.544206e-09,2.515166e-05
4.582926e+02,7.420662e-02,1.579338e-02,7.139416e-09,2.618315e-05
4.792788e+02,7.435033e-02,1.563996e-02,7.824501e-09,2.838081e-05
5.012260e+02,7.449194e-02,1.548962e-02,8.591837e-09,3.129082e-05
5.241782e+02,7.463169e-02,1.534226e-02,9.432661e-09,3.454358e-05
5.481815e+02,7.476989e-02,1.519773e-02,1.033798e-08,3.788238e-05
5.732839e+02,7.490686e-02,1.505583e-02,1.129911e-08,4.113969e-05
5.995358e+02,7.504295e-02,1.491632e-02,1.230799e-08,4.420802e-05
6.269898e+02,7.517853e-02,1.477891e-02,1.335738e-08,4.701861e-05
6.557011e+02,7.531399e-02,1.464330e-02,1.444091e-08,4.952770e-05
6.857270e+02,7.544970e-02,1.450917e-02,1.555323e-08,5.170812e-05
7.171279e+02,7.558606e-02,1.437616e-02,1.669006e-08,5.354402e-05
7.499668e+02,7.572343e-02,1.424391e-02,1.784840e-08,5.502759e-05
7.843094e+02,7.586217e-02,1.411205e-02,1.902665e-08,5.615691e-05
8.202246e+02,7.600262e-02,1.398023e-02,2.022490e-08,5.693461e-05
