freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.000000e+04,1.799729e-01,6.281287e-04,1.799740e-01,0.2000
1.035142e+04,1.799729e-01,6.502025e-04,1.799740e-01,0.2070
1.071519e+04,1.799729e-01,6.730520e-04,1.799741e-01,0.2143
1.109175e+04,1.799729e-01,6.967045e-04,1.799742e-01,0.2218
1.148154e+04,1.799729e-01,7.211882e-04,1.799743e-01,0.2296
1.188502e+04,1.799729e-01,7.465324e-04,1.799744e-01,0.2377
1.230269e+04,1.799729e-01,7.727671e-04,1.799745e-01,0.2460
1.273503e+04,1.799729e-01,7.999238e-04,1.799746e-01,0.2547
1.318257e+04,1.799729e-01,8.280349e-04,1.799748e-01,0.2636
1.364583e+04,1.799729e-01,8.571338e-04,1.799749e-01,0.2729
1.412538e+04,1.799729e-01,8.872554e-04,1.799751e-01,0.2825
1.462177e+04,1.799729e-01,9.184355e-04,1.799752e-01,0.2924
1.513561e+04,1.799729e-01,9.507113e-04,1.799754e-01,0.3027
1.566751e+04,1.799729e-01,9.841213e-04,1.799756e-01,0.3133
1.621810e+04,1.799729e-01,1.018705e-03,1.799757e-01,0.3243
1.678804e+04,1.799729e-01,1.054505e-03,1.799760e-01,0.3357
1.737801e+04,1.799729e-01,1.091563e-03,1.799762e-01,0.3475
1.798871e+04,1.799729e-01,1.129922e-03,1.799764e-01,0.3597
1.862087e+04,1.799729e-01,1.169630e-03,1.799767e-01,0.3724
1.927525e+04,1.799729e-01,1.210734e-03,1.799769e-01,0.3854
1.995262e+04,1.799729e-01,1.253282e-03,1.799772e-01,0.3990
2.065380e+04,1.799729e-01,1.297325e-03,1.799775e-01,0.4130
2.137962e+04,1.799729e-01,1.342915e-03,1.799779e-01,0.4275
2.213095e+04,1.799729e-01,1.390108e-03,1.799782e-01,0.4425
2.290868e+04,1.799729e-01,1.438960e-03,1.799786e-01,0.4581
2.371374e+04,1.799729e-01,1.489528e-03,1.799790e-01,0.4742
2.454709e+04,1.799729e-01,1.541873e-03,1.799795e-01,0.4909
2.540973e+04,1.799729e-01,1.596058e-03,1.799799e-01,0.5081
2.630268e+04,1.799729e-01,1.652147e-03,1.799804e-01,0.5260
2.722701e+04,1.799729e-01,1.710207e-03,1.799810e-01,0.5444
2.818383e+04,1.799729e-01,1.770307e-03,1.799816e-01,0.5636
2.917427e+04,1.799729e-01,1.832520e-03,1.799822e-01,0.5834
3.019952e+04,1.799729e-01,1.896918e-03,1.799829e-01,0.6039
3.126079e+04,1.799729e-01,1.963580e-03,1.799836e-01,0.6251
3.235937e+04,1.799729e-01,2.032585e-03,1.799843e-01,0.6471
3.349654e+04,1.799729e-01,2.104014e-03,1.799852e-01,0.6698
3.467369e+04,1.799729e-01,2.177954e-03,1.799860e-01,0.6933
3.589219e+04,1.799729e-01,2.254492e-03,1.799870e-01,0.7177
3.715352e+04,1.799729e-01,2.333719e-03,1.799880e-01,0.7429
3.845918e+04,1.799729e-01,2.415731e-03,1.799891e-01,0.7690
