freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.000000e+04,1.500000e-02,-1.591549e+02,1.591549e+02,-89.9946
1.035142e+04,1.500000e-02,-1.537517e+02,1.537517e+02,-89.9944
1.071519e+04,1.500000e-02,-1.485320e+02,1.485320e+02,-89.9942
1.109175e+04,1.500000e-02,-1.434894e+02,1.434894e+02,-89.9940
1.148154e+04,1.500000e-02,-1.386181e+02,1.386181e+02,-89.9938
1.188502e+04,1.500000e-02,-1.339121e+02,1.339121e+02,-89.9936
1.230269e+04,1.500000e-02,-1.293659e+02,1.293659e+02,-89.9934
1.273503e+04,1.500000e-02,-1.249741e+02,1.249741e+02,-89.9931
1.318257e+04,1.500000e-02,-1.207313e+02,1.207313e+02,-89.9929
1.364583e+04,1.500000e-02,-1.166326e+02,1.166326e+02,-89.9926
1.412538e+04,1.500000e-02,-1.126730e+02,1.126730e+02,-89.9924
1.462177e+04,1.500000e-02,-1.088478e+02,1.088478e+02,-89.9921
1.513561e+04,1.500000e-02,-1.051525e+02,1.051525e+02,-89.9918
1.566751e+04,1.500000e-02,-1.015827e+02,1.015827e+02,-89.9915
1.621810e+04,1.500000e-02,-9.813404e+01,9.813404e+01,-89.9912
1.678804e+04,1.500000e-02,-9.480247e+01,9.480247e+01,-89.9909
1.737801e+04,1.500000e-02,-9.158400e+01,9.158400e+01,-89.9906
1.798871e+04,1.500000e-02,-8.847480e+01,8.847480e+01,-89.9903
1.862087e+04,1.500000e-02,-8.547115e+01,8.547115e+01,-89.9899
1.927525e+04,1.500000e-02,-8.256947e+01,8.256947e+01,-89.9896
1.995262e+04,1.500000e-02,-7.976630e+01,7.976630e+01,-89.9892
2.065380e+04,1.500000e-02,-7.705830e+01,7.705830e+01,-89.9888
2.137962e+04,1.500000e-02,-7.444223e+01,7.444223e+01,-89.9885
2.213095e+04,1.500000e-02,-7.191497e+01,7.191497e+01,-89.9880
2.290868e+04,1.500000e-02,-6.947351e+01,6.947351e+01,-89.9876
2.371374e+04,1.500000e-02,-6.711494e+01,6.711494e+01,-89.9872
2.454709e+04,1.500000e-02,-6.483643e+01,6.483643e+01,-89.9867
2.540973e+04,1.500000e-02,-6.263528e+01,6.263528e+01,-89.9863
2.630268e+04,1.500000e-02,-6.050886e+01,6.050886e+01,-89.9858
2.722701e+04,1.500000e-02,-5.845462e+01,5.845463e+01,-89.9853
2.818383e+04,1.500000e-02,-5.647013e+01,5.647013e+01,-89.9848
2.917427e+04,1.500000e-02,-5.455301e+01,5.455301e+01,-89.9842
3.019952e+04,1.500000e-02,-5.270097e+01,5.270097e+01,-89.9837
3.126079e+04,1.500000e-02,-5.091180e+01,5.091180e+01,-89.9831
3.235937e+04,1.500000e-02,-4.918338e+01,4.918338e+01,-89.9825
3.349654e+04,1.500000e-02,-4.751363e+01,4.751363e+01,-89.9819
3.467369e+04,1.500000e-02,-4.590057e+01,4.590057e+01,-89.9813
3.589219e+04,1.500000e-02,-4.434227e+01,4.434227e+01,-89.9806
3.715352e+04,1.500000e-02,-4.283688e+01,4.283688e+01,-89.9799
3.845918e+04,1.500000e-02,-4.138259e+01,4.138259e+01,-89.9792
3.981072e+04,1.500000e-02,-3.997767e+01,3.997767e+01,-89.9785
4.120975e+04,1.500000e-02,-3.862044e+01,3.862045e+01,-89.9777
4.265795e+04,1.500000e-02,-3.730930e+01,3.730930e+01,-89.9770
4.415704e+04,1.500000e-02,-3.604266e+01,3.604266e+01,-89.9762
4.570882e+04,1.500000e-02,-3.481902e+01,3.481903e+01,-89.9753
4.731513e+04,1.500000e-02,-3.363693e+01,3.363693e+01,-89.9744
4.897788e+04,1.500000e-02,-3.249496e+01,3.249497e+01,-89.9736
5.069907e+04,1.500000e-02,-3.139177e+01,3.139177e+01,-89.9726
5.248075e+04,1.500000e-02,-3.032602e+01,3.032603e+01,-89.9717
5.432503e+04,1.500000e-02,-2.929646e+01,2.929646e+01,-89.9707
5.623413e+04,1.500000e-02,-2.830185e+01,2.830185e+01,-89.9696
5.821032e+04,1.500000e-02,-2.734100e+01,2.734100e+01,-89.9686
6.025596e+04,1.500000e-02,-2.641277e+01,2.641278e+01,-89.9675
6.237348e+04,1.500000e-02,-2.551606e+01,2.551606e+01,-89.9663
6.456542e+04,1.500000e-02,-2.464978e+01,2.464979e+01,-89.9651
6.683439e+04,1.500000e-02,-2.381291e+01,2.381292e+01,-89.9639
6.918310e+04,1.500000e-02,-2.300446e+01,2.300446e+01,-89.9626
7.161434e+04,1.500000e-02,-2.222345e+01,2.222345e+01,-89.9613
7.413102e+04,1.500000e-02,-2.146895e+01,2.146896e+01,-89.9600
7.673615e+04,1.500000e-02,-2.074007e+01,2.074007e+01,-89.9586
7.943282e+04,1.500000e-02,-2.003593e+01,2.003593e+01,-89.9571
8.222426e+04,1.500000e-02,-1.935569e+01,1.935570e+01,-89.9556
8.511380e+04,1.500000e-02,-1.869855e+01,1.869855e+01,-89.9540
8.810489e+04,1.500000e-02,-1.806371e+01,1.806372e+01,-89.9524
9.120108e+04,1.500000e-02,-1.745043e+01,1.745043e+01,-89.9507
9.440609e+04,1.500000e-02,-1.685796e+01,1.685797e+01,-89.9490
9.772372e+04,1.500000e-02,-1.628561e+01,1.628561e+01,-89.9472
1.011579e+05,1.500000e-02,-1.573268e+01,1.573269e+01,-89.9454
1.047129e+05,1.500000e-02,-1.519853e+01,1.519854e+01,-89.9435
1.083927e+05,1.500000e-02,-1.468251e+01,1.468251e+01,-89.9415
1.122018e+05,1.500000e-02,-1.418400e+01,1.418401e+01,-89.9394
