freq_Hz,Re_Z_ohm,Im_Z_ohm,mag_Z_ohm,phase_deg
1.000000e+04,2.863901e-02,2.953021e-01,2.966876e-01,84.4607
1.035142e+04,2.864182e-02,3.056796e-01,3.070186e-01,84.6471
1.071519e+04,2.864484e-02,3.164219e-01,3.177158e-01,84.8273
1.109175e+04,2.864807e-02,3.275416e-01,3.287921e-01,85.0014
1.148154e+04,2.865154e-02,3.390522e-01,3.402606e-01,85.1697
1.188502e+04,2.865525e-02,3.509672e-01,3.521350e-01,85.3324
1.230269e+04,2.865923e-02,3.633009e-01,3.644296e-01,85.4895
1.273503e+04,2.866349e-02,3.760681e-01,3.771589e-01,85.6414
1.318257e+04,2.866806e-02,3.892840e-01,3.903381e-01,85.7882
1.364583e+04,2.867295e-02,4.029642e-01,4.039831e-01,85.9300
1.412538e+04,2.867819e-02,4.171253e-01,4.181100e-01,86.0670
1.462177e+04,2.868381e-02,4.317840e-01,4.327357e-01,86.1994
1.513561e+04,2.868983e-02,4.469578e-01,4.478776e-01,86.3273
1.566751e+04,2.869628e-02,4.626649e-01,4.635539e-01,86.4508
1.621810e+04,2.870320e-02,4.789239e-01,4.797833e-01,86.5702
1.678804e+04,2.871060e-02,4.957543e-01,4.965850e-01,86.6855
1.737801e+04,2.871854e-02,5.131762e-01,5.139792e-01,86.7969
1.798871e+04,2.872704e-02,5.312103e-01,5.319865e-01,86.9045
1.862087e+04,2.873616e-02,5.498782e-01,5.506286e-01,87.0085
1.927525e+04,2.874592e-02,5.692021e-01,5.699275e-01,87.1089
1.995262e+04,2.875638e-02,5.892051e-01,5.899064e-01,87.2059
2.065380e+04,2.876759e-02,6.099111e-01,6.105891e-01,87.2995
2.137962e+04,2.877961e-02,6.313447e-01,6.320003e-01,87.3900
2.213095e+04,2.879248e-02,6.535315e-01,6.541654e-01,87.4774
2.290868e+04,2.880627e-02,6.764980e-01,6.771110e-01,87.5617
2.371374e+04,2.882105e-02,7.002716e-01,7.008645e-01,87.6432
2.454709e+04,2.883689e-02,7.248807e-01,7.254540e-01,87.7219
2.540973e+04,2.885385e-02,7.503546e-01,7.509091e-01,87.7979
2.630268e+04,2.887204e-02,7.767236e-01,7.772601e-01,87.8712
2.722701e+04,2.889152e-02,8.040194e-01,8.045383e-01,87.9420
2.818383e+04,2.891239e-02,8.322744e-01,8.327764e-01,88.0104
2.917427e+04,2.893476e-02,8.615223e-01,8.620081e-01,88.0764
3.019952e+04,2.895873e-02,8.917981e-01,8.922681e-01,88.1401
3.126079e+04,2.898441e-02,9.231378e-01,9.235927e-01,88.2016
3.235937e+04,2.901193e-02,9.555789e-01,9.560192e-01,88.2610
3.349654e+04,2.904142e-02,9.891600e-01,9.895862e-01,88.3183
3.467369e+04,2.907302e-02,1.023921e+00,1.024334e+00,88.3736
3.589219e+04,2.910687e-02,1.059904e+00,1.060304e+00,88.4270
3.715352e+04,2.914315e-02,1.097151e+00,1.097538e+00,88.4784
3.845918e+04,2.918202e-02,1.135708e+00,1.136082e+00,88.5281
3.981072e+04,2.922367e-02,1.175619e+00,1.175982e+00,88.5760
4.120975e+04,2.926831e-02,1.216933e+00,1.217285e+00,88.6223
4.265795e+04,2.931613e-02,1.259698e+00,1.260039e+00,88.6668
4.415704e+04,2.936737e-02,1.303967e+00,1.304298e+00,88.7098
4.570882e+04,2.942228e-02,1.349791e+00,1.350112e+00,88.7513
4.731513e+04,2.948112e-02,1.397226e+00,1.397537e+00,88.7913
4.897788e+04,2.954416e-02,1.446327e+00,1.446629e+00,88.8298
5.069907e+04,2.961171e-02,1.497154e+00,1.497447e+00,88.8669
5.248075e+04,2.968409e-02,1.549768e+00,1.550052e+00,88.9027
5.432503e+04,2.976165e-02,1.604230e+00,1.604506e+00,88.9372
5.623413e+04,2.984476e-02,1.660606e+00,1.660874e+00,88.9704
5.821032e+04,2.993381e-02,1.718963e+00,1.719224e+00,89.0024
6.025596e+04,3.002923e-02,1.779371e+00,1.779625e+00,89.0332
6.237348e+04,3.013148e-02,1.841902e+00,1.842149e+00,89.0628
6.456542e+04,3.024103e-02,1.906631e+00,1.906871e+00,89.0913
6.683439e+04,3.035843e-02,1.973634e+00,1.973868e+00,89.1187
6.918310e+04,3.048421e-02,2.042992e+00,2.043219e+00,89.1451
7.161434e+04,3.061900e-02,2.114787e+00,2.115009e+00,89.1705
7.413102e+04,3.076342e-02,2.189105e+00,2.189321e+00,89.1949
7.673615e+04,3.091817e-02,2.266035e+00,2.266246e+00,89.2183
7.943282e+04,3.108400e-02,2.345669e+00,2.345875e+00,89.2408
8.222426e+04,3.126168e-02,2.428101e+00,2.428302e+00,89.2624
8.511380e+04,3.145206e-02,2.513429e+00,2.513626e+00,89.2831
8.810489e+04,3.165607e-02,2.601757e+00,2.601949e+00,89.3029
9.120108e+04,3.187466e-02,2.693188e+00,2.693377e+00,89.3219
9.440609e+04,3.210889e-02,2.787833e+00,2.788018e+00,89.3401
9.772372e+04,3.235987e-02,2.885803e+00,2.885985e+00,89.3575
1.011579e+05,3.262880e-02,2.987217e+00,2.987395e+00,89.3742
1.047129e+05,3.291697e-02,3.092194e+00,3.092370e+00,89.3901
1.083927e+05,3.322574e-02,3.200861e+00,3.201033e+00,89.4053
1.122018e+05,3.355660e-02,3.313346e+00,3.313516e+00,89.4197
1.161449e+05,3.391112e-02,3.429785e+00,3.429952e+00,89.4335
1.202264e+05,3.429100e-02,3.550315e+00,3.550481e+00,89.4466
1.244515e+05,3.469804e-02,3.675081e+00,3.675245e+00,89.4591
1.288250e+05,3.513420e-02,3.804231e+00,3.804394e+00,89.4709
1.333521e+05,3.560155e-02,3.937921e+00,3.938082e+00,89.4820
1.380384e+05,3.610232e-02,4.076308e+00,4.076468e+00,89.4926
1.428894e+05,3.663891e-02,4.219559e+00,4.219718e+00,89.5025
1.479108e+05,3.721388e-02,4.367844e+00,4.368002e+00,89.5119
1.531087e+05,3.782997e-02,4.521339e+00,4.521498e+00,89.5206
1.584893e+05,3.849012e-02,4.680230e+00,4.680388e+00,89.5288
1.640590e+05,3.919749e-02,4.844703e+00,4.844862e+00,89.5364
1.698244e+05,3.995544e-02,5.014957e+00,5.015117e+00,89.5435
1.757924e+05,4.076761e-02,5.191194e+00,5.191355e+00,89.5501
1.819701e+05,4.163787e-02,5.373625e+00,5.373786e+00,89.5560
1.883649e+05,4.257036e-02,5.562467e+00,5.562630e+00,89.5615
1.949845e+05,4.356955e-02,5.757945e+00,5.758109e+00,89.5665
2.018366e+05,4.464020e-02,5.960292e+00,5.960459e+00,89.5709
2.089296e+05,4.578743e-02,6.169751e+00,6.169921e+00,89.5748
2.162719e+05,4.701670e-02,6.386570e+00,6.386744e+00,89.5782
2.238721e+05,4.833390e-02,6.611010e+00,6.611186e+00,89.5811
2.317395e+05,4.974530e-02,6.843336e+00,6.843517e+00,89.5835
2.398833e+05,5.125765e-02,7.083828e+00,7.084013e+00,89.5854
2.483133e+05,5.287817e-02,7.332770e+00,7.332961e+00,89.5868
2.570396e+05,5.461458e-02,7.590462e+00,7.590658e+00,89.5878
2.660725e+05,5.647519e-02,7.857209e+00,7.857412e+00,89.5882
2.754229e+05,5.846888e-02,8.133331e+00,8.133541e+00,89.5881
2.851018e+05,6.060516e-02,8.419157e+00,8.419375e+00,89.5876
2.951209e+05,6.289423e-02,8.715027e+00,8.715254e+00,89.5865
3.054921e+05,6.534703e-02,9.021295e+00,9.021532e+00,89.5850
3.162278e+05,6.797525e-02,9.338327e+00,9.338574e+00,89.5829
3.273407e+05,7.079146e-02,9.666500e+00,9.666759e+00,89.5804
3.388442e+05,7.380909e-02,1.000621e+01,1.000648e+01,89.5774
3.507519e+05,7.704256e-02,1.035785e+01,1.035814e+01,89.5738
3.630781e+05,8.050730e-02,1.072185e+01,1.072216e+01,89.5698
3.758374e+05,8.421985e-02,1.109865e+01,1.109897e+01,89.5652
3.890451e+05,8.819795e-02,1.148869e+01,1.148903e+01,89.5602
4.027170e+05,9.246058e-02,1.189243e+01,1.189279e+01,89.5545
4.168694e+05,9.702811e-02,1.231037e+01,1.231075e+01,89.5484
4.315191e+05,1.019223e-01,1.274299e+01,1.274340e+01,89.5417
4.466836e+05,1.071666e-01,1.319081e+01,1.319125e+01,89.5345
4.623810e+05,1.127860e-01,1.365438e+01,1.365485e+01,89.5267
4.786301e+05,1.188074e-01,1.413424e+01,1.413474e+01,89.5184
4.954502e+05,1.252595e-01,1.463096e+01,1.463150e+01,89.5095
5.128614e+05,1.321731e-01,1.514514e+01,1.514571e+01,89.5000
5.308844e+05,1.395812e-01,1.567739e+01,1.567801e+01,89.4899
5.495409e+05,1.475192e-01,1.622835e+01,1.622902e+01,89.4792
5.688529e+05,1.560251e-01,1.679867e+01,1.679939e+01,89.4679
5.888437e+05,1.651394e-01,1.738903e+01,1.738981e+01,89.4559
6.095369e+05,1.749057e-01,1.800015e+01,1.800100e+01,89.4433
6.309573e+05,1.853706e-01,1.863274e+01,1.863366e+01,89.4300
6.531306e+05,1.965842e-01,1.928757e+01,1.928857e+01,89.4160
6.760830e+05,2.085999e-01,1.996541e+01,1.996650e+01,89.4014
6.998420e+05,2.214753e-01,2.066708e+01,2.066826e+01,89.3860
7.244360e+05,2.352718e-01,2.139341e+01,2.139470e+01,89.3699
7.498942e+05,2.500553e-01,2.214527e+01,2.214668e+01,89.3531
7.762471e+05,2.658965e-01,2.292355e+01,2.292509e+01,89.3354
8.035261e+05,2.828710e-01,2.372920e+01,2.373088e+01,89.3170
8.317638e+05,3.010600e-01,2.456316e+01,2.456500e+01,89.2978
8.609938e+05,3.205505e-01,2.542643e+01,2.542845e+01,89.2777
8.912509e+05,3.414355e-01,2.632006e+01,2.632227e+01,89.2568
